Hora,Num_Ciclos,Mediana_Tonelaje,Mediana_Tiempo_Hrs,Mediana_Distancia_Km,Turno
0,3251,400.0,0.77,11.43,Noche (22-06h)
1,3147,399.0,0.78,11.74,Noche (22-06h)
2,2816,400.0,0.81,11.87,Noche (22-06h)
3,2943,400.0,0.81,12.02,Noche (22-06h)
4,3037,400.0,0.77,11.31,Noche (22-06h)
5,2674,401.0,0.77,11.39,Noche (22-06h)
6,890,399.0,0.68,9.61,Día (06-14h)
7,1131,403.0,0.76,10.97,Día (06-14h)
8,2656,401.0,0.76,11.75,Día (06-14h)
9,3032,402.0,0.78,11.98,Día (06-14h)
10,3260,401.0,0.74,11.49,Día (06-14h)
11,3301,401.0,0.74,11.3,Día (06-14h)
12,3163,401.0,0.78,11.83,Día (06-14h)
13,3015,400.0,0.81,12.2,Día (06-14h)
14,3131,401.0,0.8,12.13,Tarde (14-22h)
15,3233,402.0,0.74,11.0,Tarde (14-22h)
16,3477,401.0,0.76,11.37,Tarde (14-22h)
17,3461,401.0,0.73,10.68,Tarde (14-22h)
18,1279,398.0,0.6,8.34,Tarde (14-22h)
19,1874,401.0,0.7,9.82,Tarde (14-22h)
20,3392,400.0,0.74,11.1,Tarde (14-22h)
21,3315,400.0,0.75,11.52,Tarde (14-22h)
22,3309,400.0,0.76,11.63,Noche (22-06h)
23,3274,400.0,0.74,11.13,Noche (22-06h)
